Energy (eV),Spectrum (Gw/sr/eV),Time (ns)
1131.24062031016,0.00250399827055527,3
1133.72686343172,0.00253584412432589,3
1136.21310655328,0.00256791078038196,3
1138.69934967484,0.00260017734406698,3
1141.1855927964,0.00263262292072448,3
1143.67183591796,0.00266522661569796,3
1146.15807903952,0.00269796753433095,3
1148.64432216108,0.00273082478196694,3
1151.13056528264,0.00276377746394947,3
1153.6168084042,0.00279680468562203,3
1156.10305152576,0.00282988555232815,3
1158.58929464732,0.00286299916941134,3
1161.07553776888,0.00289612464221511,3
1163.56178089045,0.00292924107608297,3
1166.04802401201,0.00296232757635845,3
1168.53426713357,0.00299536324838504,3
1171.02051025513,0.00302832719750627,3
1173.50675337669,0.00306119852906566,3
1175.99299649825,0.0030939563484067,3
1178.47923961981,0.00312657976087293,3
1180.96548274137,0.00315904787180784,3
1183.45172586293,0.00319133978655496,3
1185.93796898449,0.0032234346104578,3
1188.42421210605,0.00325531144885987,3
1190.91045522761,0.00328694940710469,3
1193.39669834917,0.00331832759053577,3
1195.88294147074,0.00334942510449662,3
1198.3691845923,0.00338022105433075,3
1200.85542771386,0.00341069454538169,3
1203.34167083542,0.00344082468299294,3
1205.82791395698,0.00347059057250802,3
1208.31415707854,0.00349997131927044,3
1210.8004002001,0.00352894602862371,3
1213.28664332166,0.00355749380591136,3
1215.77288644322,0.00358559375647688,3
1218.25912956478,0.0036132249856638,3
1220.74537268634,0.00364036659881564,3
1223.2316158079,0.0036669977012759,3
1225.71785892947,0.00369309739838809,3
1228.20410205103,0.00371864479549573,3
1230.69034517259,0.00374361899794234,3
1233.17658829415,0.00376799911107143,3
1235.66283141571,0.0037917642402265,3
1238.14907453727,0.00381489349075109,3
1240.63531765883,0.00383736596798869,3
1243.12156078039,0.00385916077728283,3
1245.60780390195,0.00388025702397701,3
1248.09404702351,0.00390063381341475,3
1250.58029014507,0.00392027025093957,3
1253.06653326663,0.00393914544189497,3
1255.55277638819,0.00395723849162448,3
1258.03901950976,0.0039745285054716,3
1260.52526263132,0.00399099458877985,3
1263.01150575288,0.00400661584689274,3
1265.49774887444,0.00402137138515379,3
1267.983991996,0.0040352403089065,3
1270.47023511756,0.0040482017234944,3
1272.95647823912,0.004060234734261,3
1275.44272136068,0.00407131844654981,3
1277.92896448224,0.00408143196570434,3
1280.4152076038,0.00409055439706811,3
1282.90145072536,0.00409866484598463,3
1285.38769384692,0.00410574241779741,3
1287.87393696848,0.00411176621784998,3
1290.36018009005,0.00411671535148584,3
1292.84642321161,0.0041205689240485,3
1295.33266633317,0.00412330604088148,3
1297.81890945473,0.0041249058073283,3
1300.30515257629,0.00412535378820429,3
1302.79139569785,0.00412515565405488,3
1305.27763881941,0.00412464304310563,3
1307.76388194097,0.00412382091218162,3
1310.25012506253,0.00412269421810794,3
1312.73636818409,0.00412126791770968,3
1315.22261130565,0.00411954696781194,3
1317.70885442721,0.0041175363252398,3
1320.19509754877,0.00411524094681837,3
1322.68134067034,0.00411266578937271,3
1325.1675837919,0.00410981580972794,3
1327.65382691346,0.00410669596470914,3
1330.14007003502,0.00410331121114139,3
1332.62631315658,0.0040996665058498,3
1335.11255627814,0.00409576680565944,3
1337.5987993997,0.00409161706739542,3
1340.08504252126,0.00408722224788283,3
1342.57128564282,0.00408258730394674,3
1345.05752876438,0.00407771719241227,3
